lesion,dataset,metric,value,delta_vs_full
full,geco_test,r_trt,0.4332651772880112,0.0
full,geco_test,r_ffd,0.18923496386237654,0.0
full,geco_test,r_gaze,0.37896862901092254,0.0
full,geco_test,r_skip,0.4185376433105549,0.0
full,geco_test,mae_trt,58.922733732238996,0.0
full,geco_test,mae_ffd,35.671773039599316,0.0
full,geco_test,mae_gaze,44.12487666199658,0.0
full,geco_test,bias_trt,-8.664620043191121,0.0
full,geco_test,bias_ffd,0.955885996070208,0.0
full,provo,r_trt,0.5932328291845075,0.0
full,provo,r_ffd,0.24746939261291062,0.0
full,provo,r_gaze,0.5986643638390389,0.0
full,provo,r_skip,0.5559221894152917,0.0
full,provo,mae_trt,46.09214638980789,0.0
full,provo,mae_ffd,19.377167516483667,0.0
full,provo,mae_gaze,30.83154324334929,0.0
full,provo,bias_trt,-23.955380149685368,0.0
full,provo,bias_ffd,4.952288129487641,0.0
const_l1,geco_test,r_trt,0.3203821813347635,-0.11288299595324774
const_l1,geco_test,r_ffd,0.00968937789510871,-0.17954558596726783
const_l1,geco_test,r_gaze,0.2769104556689893,-0.10205817334193323
const_l1,geco_test,r_skip,0.4185376433105549,0.0
const_l1,geco_test,mae_trt,64.3061784793105,5.383444747071508
const_l1,geco_test,mae_ffd,41.55568161726617,5.883908577666851
const_l1,geco_test,mae_gaze,48.187563933713555,4.062687271716975
const_l1,geco_test,bias_trt,-28.051598625321247,-19.386978582130126
const_l1,geco_test,bias_ffd,-18.431092541678794,-19.386978537749002
const_l1,provo,r_trt,0.47606282447720183,-0.11717000470730565
const_l1,provo,r_ffd,-0.01573337508514031,-0.26320276769805095
const_l1,provo,r_gaze,0.5032201358236744,-0.09544422801536445
const_l1,provo,r_skip,0.5559221894152917,0.0
const_l1,provo,mae_trt,56.74992648970509,10.657780099897202
const_l1,provo,mae_ffd,24.90578108626144,5.528613569777775
const_l1,provo,mae_gaze,37.06817387414315,6.236630630793858
const_l1,provo,bias_trt,-43.198610013557186,-19.243229863871818
const_l1,provo,bias_ffd,-14.290941682639982,-19.243229812127623
const_l2,geco_test,r_trt,0.4325260689719704,-0.0007391083160408485
const_l2,geco_test,r_ffd,0.18923496386237654,0.0
const_l2,geco_test,r_gaze,0.3781474205064855,-0.0008212085044370654
const_l2,geco_test,r_skip,0.4185376433105549,0.0
const_l2,geco_test,mae_trt,58.929375105366134,0.006641373127138195
const_l2,geco_test,mae_ffd,35.671773039599316,0.0
const_l2,geco_test,mae_gaze,44.06300231655396,-0.06187434544261805
const_l2,geco_test,bias_trt,-8.997222991558658,-0.332602948367537
const_l2,geco_test,bias_ffd,0.955885996070208,0.0
const_l2,provo,r_trt,0.5918818660970911,-0.0013509630874163348
const_l2,provo,r_ffd,0.24746939261291062,0.0
const_l2,provo,r_gaze,0.597483130729997,-0.0011812331090418349
const_l2,provo,r_skip,0.5559221894152917,0.0
const_l2,provo,mae_trt,46.22934376252358,0.13719737271568988
const_l2,provo,mae_ffd,19.377167516483667,0.0
const_l2,provo,mae_gaze,30.72168967336252,-0.10985356998677176
const_l2,provo,bias_trt,-24.529401961267695,-0.5740218115823268
const_l2,provo,bias_ffd,4.952288129487641,0.0
const_skip,geco_test,r_trt,0.4332651772880112,0.0
const_skip,geco_test,r_ffd,0.18923496386237654,0.0
const_skip,geco_test,r_gaze,0.37896862901092254,0.0
const_skip,geco_test,r_skip,0.04367082321433454,-0.37486682009622035
const_skip,geco_test,mae_trt,58.922733732238996,0.0
const_skip,geco_test,mae_ffd,35.671773039599316,0.0
const_skip,geco_test,mae_gaze,44.12487666199658,0.0
const_skip,geco_test,bias_trt,-8.664620043191121,0.0
const_skip,geco_test,bias_ffd,0.955885996070208,0.0
const_skip,provo,r_trt,0.5932328291845075,0.0
const_skip,provo,r_ffd,0.24746939261291062,0.0
const_skip,provo,r_gaze,0.5986643638390389,0.0
const_skip,provo,r_skip,0.11681039608201896,-0.43911179333327277
const_skip,provo,mae_trt,46.09214638980789,0.0
const_skip,provo,mae_ffd,19.377167516483667,0.0
const_skip,provo,mae_gaze,30.83154324334929,0.0
const_skip,provo,bias_trt,-23.955380149685368,0.0
const_skip,provo,bias_ffd,4.952288129487641,0.0
swap_l1l2,geco_test,r_trt,0.3899678453907269,-0.04329733189728435
swap_l1l2,geco_test,r_ffd,0.09904731583182655,-0.09018764803054999
swap_l1l2,geco_test,r_gaze,0.34007868147197917,-0.03888994753894337
swap_l1l2,geco_test,r_skip,0.4185376433105549,0.0
swap_l1l2,geco_test,mae_trt,69.41135690881391,10.488623176574919
swap_l1l2,geco_test,mae_ffd,55.04446139833609,19.372688358736774
swap_l1l2,geco_test,mae_gaze,55.280005608458346,11.155128946461765
swap_l1l2,geco_test,bias_trt,-48.59681800093992,-39.9321979577488
swap_l1l2,geco_test,bias_ffd,-45.64449784638282,-46.60038384245303
swap_l1l2,provo,r_trt,0.5722334065222884,-0.020999422662219103
swap_l1l2,provo,r_ffd,0.07434530283810074,-0.17312408977480986
swap_l1l2,provo,r_gaze,0.5817538881058241,-0.016910475733214803
swap_l1l2,provo,r_skip,0.5559221894152917,0.0
swap_l1l2,provo,mae_trt,68.46103716375116,22.36889077394327
swap_l1l2,provo,mae_ffd,44.67161820731482,25.294450690831155
swap_l1l2,provo,mae_gaze,50.737142080135044,19.905598836785753
swap_l1l2,provo,bias_trt,-63.11451978717611,-39.15913963749074
swap_l1l2,provo,bias_ffd,-44.05250258983858,-49.00479071932622
shuffle_l1,geco_test,r_trt,0.26078161202200517,-0.17248356526600606
shuffle_l1,geco_test,r_ffd,-0.005210481527814178,-0.1944454453901907
shuffle_l1,geco_test,r_gaze,0.22280290216178916,-0.15616572684913338
shuffle_l1,geco_test,r_skip,0.4185376433105549,0.0
shuffle_l1,geco_test,mae_trt,67.87400926131014,8.95127552907114
shuffle_l1,geco_test,mae_ffd,46.719611027471245,11.04783798787193
shuffle_l1,geco_test,mae_gaze,52.785954343653735,8.661077681657154
shuffle_l1,geco_test,bias_trt,-28.677431856171154,-20.012811812980033
shuffle_l1,geco_test,bias_ffd,-19.056925675444973,-20.01281167151518
shuffle_l1,provo,r_trt,0.38238306285237633,-0.21084976633213115
shuffle_l1,provo,r_ffd,-0.019639850424619604,-0.26710924303753025
shuffle_l1,provo,r_gaze,0.40617108525081086,-0.192493278588228
shuffle_l1,provo,r_skip,0.5559221894152917,0.0
shuffle_l1,provo,mae_trt,61.86897795621591,15.77683156640802
shuffle_l1,provo,mae_ffd,33.12135277419376,13.744185257710093
shuffle_l1,provo,mae_gaze,43.95568414576339,13.124140902414101
shuffle_l1,provo,bias_trt,-43.598052684849335,-19.642672535163967
shuffle_l1,provo,bias_ffd,-14.690384445921808,-19.64267257540945
shuffle_l2,geco_test,r_trt,0.4324490664770357,-0.0008161108109755455
shuffle_l2,geco_test,r_ffd,0.18923496386237654,0.0
shuffle_l2,geco_test,r_gaze,0.37785849156786955,-0.0011101374430529942
shuffle_l2,geco_test,r_skip,0.4185376433105549,0.0
shuffle_l2,geco_test,mae_trt,58.93245879524374,0.009725063004744072
