data_fraction,n_participants,metric,model_r,ceiling_r,gap
0.2,17,r_trt,0.5130886970696427,0.6446429541594312,0.13155425708978852
0.2,17,r_ffd,0.19813230869673643,0.36412674854185795,0.16599443984512152
0.2,17,r_gaze,0.4894614654865653,0.6063218530574958,0.11686038757093048
0.2,17,r_skip,0.5122788623983945,0.810948986533717,0.29867012413532257
0.4,34,r_trt,0.5591011587700794,0.7714786328235085,0.2123774740534291
0.4,34,r_ffd,0.20139742389117504,0.44856530066353173,0.2471678767723567
0.4,34,r_gaze,0.5538178943216374,0.7389161996598397,0.18509830533820226
0.4,34,r_skip,0.528707579576928,0.9031095892674633,0.3744020096905353
0.6,50,r_trt,0.5903897463075772,0.8476406681710149,0.2572509218634377
0.6,50,r_ffd,0.2341263206258704,0.5404154537044974,0.306289133078627
0.6,50,r_gaze,0.5957486599939465,0.8132809623516741,0.21753230235772758
0.6,50,r_skip,0.5385375844010776,0.9309352144427033,0.39239763004162576
0.8,67,r_trt,0.5856090268289486,0.8798228459434119,0.2942138191144633
0.8,67,r_ffd,0.23817275977520083,0.6465360817963699,0.4083633220211691
0.8,67,r_gaze,0.5882010470103322,0.8624290462489902,0.27422799923865804
0.8,67,r_skip,0.5411910727904398,0.944932906854632,0.4037418340641923
1.0,84,r_trt,0.5932387175753508,0.9067968292914477,0.3135581117160968
1.0,84,r_ffd,0.24748911468438464,0.693751393909951,0.4462622792255664
1.0,84,r_gaze,0.5986678878117443,0.8892870074573505,0.29061911964560616
1.0,84,r_skip,0.5415968944919249,0.9583433792942488,0.4167464848023239
