variant,seed,dataset,metric,value
ctx_head,1,geco_test,r_trt,0.43394277341524506
ctx_head,1,geco_test,r_ffd,0.1784960004171515
ctx_head,1,geco_test,r_gaze,0.37985545905145496
ctx_head,1,geco_test,r_skip,0.39580961580950924
ctx_head,1,provo,r_trt,0.5996713337393335
ctx_head,1,provo,r_ffd,0.23430276780250625
ctx_head,1,provo,r_gaze,0.6054370326791685
ctx_head,1,provo,r_skip,0.5462375576887208
ctx_head,100,geco_test,r_trt,0.4337997397803488
ctx_head,100,geco_test,r_ffd,0.21225484287173343
ctx_head,100,geco_test,r_gaze,0.3766624325890932
ctx_head,100,geco_test,r_skip,0.3909235847008576
ctx_head,100,provo,r_trt,0.6007191446435506
ctx_head,100,provo,r_ffd,0.28084310648550487
ctx_head,100,provo,r_gaze,0.6059605142458241
ctx_head,100,provo,r_skip,0.5437231037694807
ctx_head,2,geco_test,r_trt,0.43354287883924963
ctx_head,2,geco_test,r_ffd,0.18921409158561367
ctx_head,2,geco_test,r_gaze,0.37875409830748663
ctx_head,2,geco_test,r_skip,0.40494992167896143
ctx_head,2,provo,r_trt,0.5914944471521305
ctx_head,2,provo,r_ffd,0.252369388108216
ctx_head,2,provo,r_gaze,0.5954939711480441
ctx_head,2,provo,r_skip,0.554706198419044
ctx_head,3,geco_test,r_trt,0.43658215548886137
ctx_head,3,geco_test,r_ffd,0.20320253434028332
ctx_head,3,geco_test,r_gaze,0.38062113561691574
ctx_head,3,geco_test,r_skip,0.3877735008694016
ctx_head,3,provo,r_trt,0.597222817861025
ctx_head,3,provo,r_ffd,0.27600002240881444
ctx_head,3,provo,r_gaze,0.6018248099934792
ctx_head,3,provo,r_skip,0.5325877683687029
ctx_head,42,geco_test,r_trt,0.4332637070743559
ctx_head,42,geco_test,r_ffd,0.18921709414222698
ctx_head,42,geco_test,r_gaze,0.37896321637782904
ctx_head,42,geco_test,r_skip,0.3864073150741278
ctx_head,42,provo,r_trt,0.5932387175753508
ctx_head,42,provo,r_ffd,0.24748911468438464
ctx_head,42,provo,r_gaze,0.5986678878117443
ctx_head,42,provo,r_skip,0.5415968944919249
surp,1,geco_test,r_trt,0.4091522142606049
surp,1,geco_test,r_ffd,0.14030069122477537
surp,1,geco_test,r_gaze,0.348824631432246
surp,1,geco_test,r_skip,0.2259902001204379
surp,1,provo,r_trt,0.6552434974976927
surp,1,provo,r_ffd,0.2591874026340872
surp,1,provo,r_gaze,0.6172760628414644
surp,1,provo,r_skip,0.29179766521611245
surp,2,geco_test,r_trt,0.40978800716437785
surp,2,geco_test,r_ffd,0.14040354642647865
surp,2,geco_test,r_gaze,0.34927860521480325
surp,2,geco_test,r_skip,0.21690567501052935
surp,2,provo,r_trt,0.6554876119467542
surp,2,provo,r_ffd,0.2591207615354278
surp,2,provo,r_gaze,0.6172822245749139
surp,2,provo,r_skip,0.29154076352031016
surp,3,geco_test,r_trt,0.4091200835390596
surp,3,geco_test,r_ffd,0.1403005462485939
surp,3,geco_test,r_gaze,0.34880586136533337
surp,3,geco_test,r_skip,0.2268884449835685
surp,3,provo,r_trt,0.6552294711443063
surp,3,provo,r_ffd,0.2591889784068279
surp,3,provo,r_gaze,0.6172820231462758
surp,3,provo,r_skip,0.30353200365832683
surp,42,geco_test,r_trt,0.409847743573003
surp,42,geco_test,r_ffd,0.14041225211740527
surp,42,geco_test,r_gaze,0.3493198280672455
surp,42,geco_test,r_skip,0.21853003159613021
surp,42,provo,r_trt,0.6555099167464821
surp,42,provo,r_ffd,0.25911536163607907
surp,42,provo,r_gaze,0.6172739386167895
surp,42,provo,r_skip,0.30340949344983587
surp,100,geco_test,r_trt,0.409828144542562
surp,100,geco_test,r_ffd,0.14040896281458565
surp,100,geco_test,r_gaze,0.34930547810907275
surp,100,geco_test,r_skip,0.22647212927074656
surp,100,provo,r_trt,0.6555030072441067
surp,100,provo,r_ffd,0.2591180738020222
surp,100,provo,r_gaze,0.6172748245623891
surp,100,provo,r_skip,0.28936645849268805
