model,dataset,metric,mean,std,n_seeds,min,max
bert_regression,geco_test,bias_ffd,-2.495636476029148,2.1887258496275286,5,-4.847641894211279,0.1045523293642816
bert_regression,geco_test,bias_gaze,-3.5864361968027936,5.892405457582957,5,-10.66890556571991,2.0908794885089605
bert_regression,geco_test,bias_trt,-6.001968856080095,9.625370388466505,5,-16.23785641121478,5.479986136034256
bert_regression,geco_test,mae_ffd,35.00728415907241,0.24771977061681769,5,34.78862862204655,35.28242579668779
bert_regression,geco_test,mae_gaze,42.82547252451119,0.22786592033001665,5,42.50349595073282,43.03201342086116
bert_regression,geco_test,mae_trt,59.15085022128302,0.48134312839162974,5,58.50605206616635,59.85006323616203
bert_regression,geco_test,mean_human_skip,0.5266514979294474,0.0,5,0.5266514979294474,0.5266514979294474
bert_regression,geco_test,mean_pred_skip,0.5365120936818306,0.0227103908954197,5,0.5057466025353344,0.5593309428470392
bert_regression,geco_test,r_ffd,0.22014279574191992,0.0032509228927877078,5,0.21674359023740317,0.2240018129922086
bert_regression,geco_test,r_gaze,0.38563528077228026,0.001863895619793882,5,0.38324233988471307,0.38793939080434586
bert_regression,geco_test,r_skip,0.6405621033757377,0.005114770859925962,5,0.6323682285322717,0.6464423998071744
bert_regression,geco_test,r_trt,0.4490929988218264,0.004125295826251507,5,0.44360202066060395,0.4550037801224511
bert_regression,provo,bias_ffd,-0.0417233661413718,1.8931805115941014,5,-2.4105055349343445,2.4351284828145197
bert_regression,provo,bias_gaze,-16.74106764932884,5.499980254252589,5,-22.75281551176451,-10.825711283357435
bert_regression,provo,bias_trt,-26.568519202029712,9.10798403384868,5,-35.61662110755924,-15.06492667595245
bert_regression,provo,mae_ffd,18.056971272845733,0.3867069671064998,5,17.73616983388029,18.49158645417088
bert_regression,provo,mae_gaze,32.455148563590186,1.570520417659935,5,31.1403520753374,34.259554076287664
bert_regression,provo,mae_trt,48.28523229703329,2.5202251187255356,5,45.85702402380986,51.16047976751578
bert_regression,provo,mean_human_skip,0.440561416729465,6.206335383118183e-17,5,0.44056141672946497,0.44056141672946497
bert_regression,provo,mean_pred_skip,0.5215320072590901,0.023241941072912845,5,0.49090364595598623,0.5460159543230737
bert_regression,provo,r_ffd,0.29930186334850506,0.008376771139238582,5,0.287127646430277,0.3088913915873801
bert_regression,provo,r_gaze,0.571705364924768,0.005110680596817901,5,0.5651363469040317,0.5790952514915757
bert_regression,provo,r_skip,0.7725700240950224,0.00546095298171631,5,0.7654431141610577,0.7788688453784268
bert_regression,provo,r_trt,0.5963487213326083,0.00667475619507147,5,0.5899158192541335,0.6043153685093751
gpt2_surprisal,geco_test,mae_ffd,35.1,0.0,1,35.1,35.1
gpt2_surprisal,geco_test,mae_trt,59.4,0.0,1,59.4,59.4
gpt2_surprisal,geco_test,r_ffd,0.175,0.0,1,0.175,0.175
gpt2_surprisal,geco_test,r_gaze,0.367,0.0,1,0.367,0.367
gpt2_surprisal,geco_test,r_skip,0.621,0.0,1,0.621,0.621
gpt2_surprisal,geco_test,r_trt,0.431,0.0,1,0.431,0.431
gpt2_surprisal,provo,mae_ffd,17.3,0.0,1,17.3,17.3
gpt2_surprisal,provo,mae_trt,43.4,0.0,1,43.4,43.4
gpt2_surprisal,provo,r_ffd,0.324,0.0,1,0.324,0.324
gpt2_surprisal,provo,r_gaze,0.631,0.0,1,0.631,0.631
gpt2_surprisal,provo,r_skip,0.762,0.0,1,0.762,0.762
gpt2_surprisal,provo,r_trt,0.653,0.0,1,0.653,0.653
lightgbm,geco_test,mae_ffd,34.7,0.0,1,34.7,34.7
lightgbm,geco_test,mae_trt,58.1,0.0,1,58.1,58.1
lightgbm,geco_test,r_ffd,0.233,0.0,1,0.233,0.233
lightgbm,geco_test,r_gaze,0.406,0.0,1,0.406,0.406
lightgbm,geco_test,r_skip,0.74,0.0,1,0.74,0.74
lightgbm,geco_test,r_trt,0.465,0.0,1,0.465,0.465
lightgbm,provo,mae_ffd,17.5,0.0,1,17.5,17.5
lightgbm,provo,mae_trt,43.1,0.0,1,43.1,43.1
lightgbm,provo,r_ffd,0.333,0.0,1,0.333,0.333
lightgbm,provo,r_gaze,0.633,0.0,1,0.633,0.633
lightgbm,provo,r_skip,0.875,0.0,1,0.875,0.875
lightgbm,provo,r_trt,0.651,0.0,1,0.651,0.651
linear_regression,geco_test,mae_ffd,35.1,0.0,1,35.1,35.1
linear_regression,geco_test,mae_trt,59.5,0.0,1,59.5,59.5
linear_regression,geco_test,r_ffd,0.175,0.0,1,0.175,0.175
