model,seed,dataset,metric,value
v4c_v2_dualctx,1,geco_test,r_trt,0.43394277341524506
v4c_v2_dualctx,1,geco_test,r_ffd,0.1784960004171515
v4c_v2_dualctx,1,geco_test,r_gaze,0.37985545905145496
v4c_v2_dualctx,1,geco_test,r_skip,0.39580961580950924
v4c_v2_dualctx,1,geco_test,mae_trt,58.992165609215895
v4c_v2_dualctx,1,geco_test,mae_ffd,35.928879094215894
v4c_v2_dualctx,1,geco_test,mae_gaze,44.04372168572392
v4c_v2_dualctx,1,geco_test,bias_trt,-8.206680752390128
v4c_v2_dualctx,1,geco_test,bias_ffd,0.8804988045057769
v4c_v2_dualctx,1,geco_test,bias_gaze,3.63476667697779
v4c_v2_dualctx,1,geco_test,mean_pred_skip,0.5375114345165802
v4c_v2_dualctx,1,geco_test,mean_human_skip,0.5266514979294474
v4c_v2_dualctx,1,provo,r_trt,0.5996713337393335
v4c_v2_dualctx,1,provo,r_ffd,0.23430276780250625
v4c_v2_dualctx,1,provo,r_gaze,0.6054370326791685
v4c_v2_dualctx,1,provo,r_skip,0.5462375576887208
v4c_v2_dualctx,1,provo,mae_trt,45.932522375403174
v4c_v2_dualctx,1,provo,mae_ffd,19.29833688471381
v4c_v2_dualctx,1,provo,mae_gaze,30.2639880244396
v4c_v2_dualctx,1,provo,bias_trt,-24.185194617298748
v4c_v2_dualctx,1,provo,bias_ffd,4.218620081718512
v4c_v2_dualctx,1,provo,bias_gaze,-3.611384411900872
v4c_v2_dualctx,1,provo,mean_pred_skip,0.5358810150136518
v4c_v2_dualctx,1,provo,mean_human_skip,0.44056141672946497
v4c_v2_dualctx,100,geco_test,r_trt,0.4337997397803488
v4c_v2_dualctx,100,geco_test,r_ffd,0.21225484287173343
v4c_v2_dualctx,100,geco_test,r_gaze,0.3766624325890932
v4c_v2_dualctx,100,geco_test,r_skip,0.3909235847008576
v4c_v2_dualctx,100,geco_test,mae_trt,59.0192820684801
v4c_v2_dualctx,100,geco_test,mae_ffd,35.40849233556111
v4c_v2_dualctx,100,geco_test,mae_gaze,44.977596271563584
v4c_v2_dualctx,100,geco_test,bias_trt,-5.344563483650461
v4c_v2_dualctx,100,geco_test,bias_ffd,4.107636694828983
v4c_v2_dualctx,100,geco_test,bias_gaze,6.537004955209881
v4c_v2_dualctx,100,geco_test,mean_pred_skip,0.5280782445197459
v4c_v2_dualctx,100,geco_test,mean_human_skip,0.5266514979294474
v4c_v2_dualctx,100,provo,r_trt,0.6007191446435506
v4c_v2_dualctx,100,provo,r_ffd,0.28084310648550487
v4c_v2_dualctx,100,provo,r_gaze,0.6059605142458241
v4c_v2_dualctx,100,provo,r_skip,0.5437231037694807
v4c_v2_dualctx,100,provo,mae_trt,45.34741762500097
v4c_v2_dualctx,100,provo,mae_ffd,19.355542401469954
v4c_v2_dualctx,100,provo,mae_gaze,30.82303141219041
v4c_v2_dualctx,100,provo,bias_trt,-21.290498274560264
v4c_v2_dualctx,100,provo,bias_ffd,7.475384968685262
v4c_v2_dualctx,100,provo,bias_gaze,-0.6765663309326726
v4c_v2_dualctx,100,provo,mean_pred_skip,0.5261644125322329
v4c_v2_dualctx,100,provo,mean_human_skip,0.44056141672946497
v4c_v2_dualctx,2,geco_test,r_trt,0.43354287883924963
v4c_v2_dualctx,2,geco_test,r_ffd,0.18921409158561367
v4c_v2_dualctx,2,geco_test,r_gaze,0.37875409830748663
v4c_v2_dualctx,2,geco_test,r_skip,0.40494992167896143
v4c_v2_dualctx,2,geco_test,mae_trt,58.9658351657299
v4c_v2_dualctx,2,geco_test,mae_ffd,35.95711997694878
v4c_v2_dualctx,2,geco_test,mae_gaze,44.30358555557202
v4c_v2_dualctx,2,geco_test,bias_trt,-10.231207640057391
v4c_v2_dualctx,2,geco_test,bias_ffd,0.8286683872423168
v4c_v2_dualctx,2,geco_test,bias_gaze,1.760619699040177
v4c_v2_dualctx,2,geco_test,mean_pred_skip,0.5293136531848582
v4c_v2_dualctx,2,geco_test,mean_human_skip,0.5266514979294474
v4c_v2_dualctx,2,provo,r_trt,0.5914944471521305
v4c_v2_dualctx,2,provo,r_ffd,0.252369388108216
v4c_v2_dualctx,2,provo,r_gaze,0.5954939711480441
v4c_v2_dualctx,2,provo,r_skip,0.554706198419044
v4c_v2_dualctx,2,provo,mae_trt,46.874295393004765
v4c_v2_dualctx,2,provo,mae_ffd,19.620225892968392
v4c_v2_dualctx,2,provo,mae_gaze,31.365597217095697
v4c_v2_dualctx,2,provo,bias_trt,-26.430490523509377
v4c_v2_dualctx,2,provo,bias_ffd,4.058298376770637
v4c_v2_dualctx,2,provo,bias_gaze,-5.706299490013009
v4c_v2_dualctx,2,provo,mean_pred_skip,0.5249996396146551
v4c_v2_dualctx,2,provo,mean_human_skip,0.44056141672946497
v4c_v2_dualctx,3,geco_test,r_trt,0.43658215548886137
v4c_v2_dualctx,3,geco_test,r_ffd,0.20320253434028332
v4c_v2_dualctx,3,geco_test,r_gaze,0.38062113561691574
v4c_v2_dualctx,3,geco_test,r_skip,0.3877735008694016
v4c_v2_dualctx,3,geco_test,mae_trt,58.80792759105496
v4c_v2_dualctx,3,geco_test,mae_ffd,35.43267982432912
v4c_v2_dualctx,3,geco_test,mae_gaze,44.455279304015725
v4c_v2_dualctx,3,geco_test,bias_trt,-7.2814847897064965
v4c_v2_dualctx,3,geco_test,bias_ffd,2.336851877473322
