variant,seed,dataset,metric,value
ctx_head,1,geco_test,r_trt,0.43394277341524506
ctx_head,1,geco_test,r_ffd,0.1784960004171515
ctx_head,1,geco_test,r_gaze,0.37985545905145496
ctx_head,1,geco_test,r_skip,0.39580961580950924
ctx_head,100,geco_test,r_trt,0.4337997397803488
ctx_head,100,geco_test,r_ffd,0.21225484287173343
ctx_head,100,geco_test,r_gaze,0.3766624325890932
ctx_head,100,geco_test,r_skip,0.3909235847008576
ctx_head,2,geco_test,r_trt,0.43354287883924963
ctx_head,2,geco_test,r_ffd,0.18921409158561367
ctx_head,2,geco_test,r_gaze,0.37875409830748663
ctx_head,2,geco_test,r_skip,0.40494992167896143
ctx_head,3,geco_test,r_trt,0.43658215548886137
ctx_head,3,geco_test,r_ffd,0.20320253434028332
ctx_head,3,geco_test,r_gaze,0.38062113561691574
ctx_head,3,geco_test,r_skip,0.3877735008694016
ctx_head,42,geco_test,r_trt,0.4332637070743559
ctx_head,42,geco_test,r_ffd,0.18921709414222698
ctx_head,42,geco_test,r_gaze,0.37896321637782904
ctx_head,42,geco_test,r_skip,0.3864073150741278
surp,1,geco_test,r_trt,0.4091522142606049
surp,1,geco_test,r_ffd,0.14030069122477537
surp,1,geco_test,r_gaze,0.348824631432246
surp,1,geco_test,r_skip,0.2259902001204379
surp,2,geco_test,r_trt,0.40978800716437785
surp,2,geco_test,r_ffd,0.14040354642647865
surp,2,geco_test,r_gaze,0.34927860521480325
surp,2,geco_test,r_skip,0.21690567501052935
surp,3,geco_test,r_trt,0.4091200835390596
surp,3,geco_test,r_ffd,0.1403005462485939
surp,3,geco_test,r_gaze,0.34880586136533337
surp,3,geco_test,r_skip,0.2268884449835685
surp,42,geco_test,r_trt,0.409847743573003
surp,42,geco_test,r_ffd,0.14041225211740527
surp,42,geco_test,r_gaze,0.3493198280672455
surp,42,geco_test,r_skip,0.21853003159613021
surp,100,geco_test,r_trt,0.409828144542562
surp,100,geco_test,r_ffd,0.14040896281458565
surp,100,geco_test,r_gaze,0.34930547810907275
surp,100,geco_test,r_skip,0.22647212927074656

