lesion,dataset,metric,value,delta_vs_full
full,geco_test,r_trt,0.4332651772880112,0.0
full,geco_test,r_ffd,0.18923496386237654,0.0
full,geco_test,r_gaze,0.37896862901092254,0.0
full,geco_test,r_skip,0.4185376433105549,0.0
full,geco_test,mae_trt,58.922733732238996,0.0
full,geco_test,mae_ffd,35.671773039599316,0.0
full,geco_test,mae_gaze,44.12487666199658,0.0
full,geco_test,bias_trt,-8.664620043191121,0.0
full,geco_test,bias_ffd,0.955885996070208,0.0
const_l1,geco_test,r_trt,0.3203821813347635,-0.11288299595324774
const_l1,geco_test,r_ffd,0.00968937789510871,-0.17954558596726783
const_l1,geco_test,r_gaze,0.2769104556689893,-0.10205817334193323
const_l1,geco_test,r_skip,0.4185376433105549,0.0
const_l1,geco_test,mae_trt,64.3061784793105,5.383444747071508
const_l1,geco_test,mae_ffd,41.55568161726617,5.883908577666851
const_l1,geco_test,mae_gaze,48.187563933713555,4.062687271716975
const_l1,geco_test,bias_trt,-28.051598625321247,-19.386978582130126
const_l1,geco_test,bias_ffd,-18.431092541678794,-19.386978537749002
const_skip,geco_test,r_trt,0.4332651772880112,0.0
const_skip,geco_test,r_ffd,0.18923496386237654,0.0
const_skip,geco_test,r_gaze,0.37896862901092254,0.0
const_skip,geco_test,r_skip,0.04367082321433454,-0.37486682009622035
const_skip,geco_test,mae_trt,58.922733732238996,0.0
const_skip,geco_test,mae_ffd,35.671773039599316,0.0
const_skip,geco_test,mae_gaze,44.12487666199658,0.0
const_skip,geco_test,bias_trt,-8.664620043191121,0.0
const_skip,geco_test,bias_ffd,0.955885996070208,0.0
shuffle_l1,geco_test,r_trt,0.26078161202200517,-0.17248356526600606
shuffle_l1,geco_test,r_ffd,-0.005210481527814178,-0.1944454453901907
shuffle_l1,geco_test,r_gaze,0.22280290216178916,-0.15616572684913338
shuffle_l1,geco_test,r_skip,0.4185376433105549,0.0
shuffle_l1,geco_test,mae_trt,67.87400926131014,8.95127552907114
shuffle_l1,geco_test,mae_ffd,46.719611027471245,11.04783798787193
shuffle_l1,geco_test,mae_gaze,52.785954343653735,8.661077681657154
shuffle_l1,geco_test,bias_trt,-28.677431856171154,-20.012811812980033
shuffle_l1,geco_test,bias_ffd,-19.056925675444973,-20.01281167151518
zero_ecc,geco_test,r_trt,0.4164681332895328,-0.016797043998478423
zero_ecc,geco_test,r_ffd,0.09905518000862068,-0.09017978385375586
zero_ecc,geco_test,r_gaze,0.36643641955708706,-0.012532209453835486
zero_ecc,geco_test,r_skip,0.4185376433105549,0.0
zero_ecc,geco_test,mae_trt,60.44016837117516,1.517434638936166
zero_ecc,geco_test,mae_ffd,37.745035715094964,2.0732626754956485
zero_ecc,geco_test,mae_gaze,43.207980789357435,-0.9168958726391452
zero_ecc,geco_test,bias_trt,-20.86517825746023,-12.200558214269108
zero_ecc,geco_test,bias_ffd,-11.244672215425084,-12.200558211495292
zero_skip_residual,geco_test,r_trt,0.4332651772880112,0.0
zero_skip_residual,geco_test,r_ffd,0.18923496386237654,0.0
zero_skip_residual,geco_test,r_gaze,0.37896862901092254,0.0
zero_skip_residual,geco_test,r_skip,0.5591818707778368,0.1406442274672819
zero_skip_residual,geco_test,mae_trt,58.922733732238996,0.0
zero_skip_residual,geco_test,mae_ffd,35.671773039599316,0.0
zero_skip_residual,geco_test,mae_gaze,44.12487666199658,0.0
zero_skip_residual,geco_test,bias_trt,-8.664620043191121,0.0
zero_skip_residual,geco_test,bias_ffd,0.955885996070208,0.0
zero_ctx_FFD,geco_test,r_trt,0.39766868344045414,-0.03559649384755709
zero_ctx_FFD,geco_test,r_ffd,0.15531597293287208,-0.033918990929504456
zero_ctx_FFD,geco_test,r_gaze,0.34311560626923865,-0.03585302274168389
zero_ctx_FFD,geco_test,r_skip,0.4185376433105549,0.0
zero_ctx_FFD,geco_test,mae_trt,63.70451215083656,4.781778418597561
zero_ctx_FFD,geco_test,mae_ffd,41.614422869243604,5.942649829644289
zero_ctx_FFD,geco_test,mae_gaze,53.44841641878353,9.32353975678695
zero_ctx_FFD,geco_test,bias_trt,5.6221483570944315,14.286768400285553
zero_ctx_FFD,geco_test,bias_ffd,14.152916426017782,13.197030429947574
zero_ctx_skip,geco_test,r_trt,0.4332651772880112,0.0
zero_ctx_skip,geco_test,r_ffd,0.18923496386237654,0.0
zero_ctx_skip,geco_test,r_gaze,0.37896862901092254,0.0
zero_ctx_skip,geco_test,r_skip,0.235864457139209,-0.18267318617134587
zero_ctx_skip,geco_test,mae_trt,58.922733732238996,0.0
zero_ctx_skip,geco_test,mae_ffd,35.671773039599316,0.0
zero_ctx_skip,geco_test,mae_gaze,44.12487666199658,0.0
zero_ctx_skip,geco_test,bias_trt,-8.664620043191121,0.0
zero_ctx_skip,geco_test,bias_ffd,0.955885996070208,0.0
